(403.0, -9.1, 574.8)
(403.0, -9.8, 574.8)
(401.1, -9.8, 575.1)
(397.5, -9.8, 575.3)
(393.3, -9.7, 577.6)
(403.0, -9.2, 574.8)
(403.0, -9.4, 574.8)
(401.9, -9.9, 575.1)
(398.9, -9.7, 574.3)
(397.2, -9.4, 571.0)
(399.1, -9.4, 567.2)
(402.3, -9.3, 563.8)
(407.0, -10.4, 560.5)
(413.5, -10.6, 558.9)
(420.0, -10.7, 557.2)
(424.5, -10.7, 555.9)
(426.9, -10.7, 555.3)
(428.2, -10.7, 554.9)
(427.4, -10.7, 555.2)
(428.0, -10.7, 555.1)
(431.1, -10.7, 555.9)
(435.4, -10.7, 556.7)
(440.4, -10.7, 554.9)
(444.6, -10.7, 551.0)
(448.8, -10.7, 546.7)
(453.1, -10.7, 542.1)
(457.9, -10.7, 538.0)
(462.8, -10.7, 533.8)
(467.6, -10.7, 529.5)
(472.3, -10.7, 525.1)
(478.3, -10.7, 523.2)
(483.8, -10.7, 520.3)
(489.4, -10.7, 517.4)
(494.8, -10.7, 514.1)
(403.0, -9.4, 574.8)
(401.9, -9.9, 575.2)
(398.9, -9.8, 574.9)
(396.8, -9.4, 572.0)
(398.0, -9.5, 568.1)
(401.3, -9.3, 565.2)
(405.0, -9.9, 561.9)
(411.3, -10.6, 560.9)
(417.5, -10.7, 562.5)
(423.0, -10.7, 565.4)
(428.3, -10.7, 566.7)
(434.0, -10.7, 565.2)
(440.1, -10.7, 564.2)
(446.3, -10.7, 563.0)
(452.6, -10.7, 561.6)
(458.5, -10.7, 559.2)
(464.6, -10.7, 557.7)
(470.9, -10.7, 557.3)
(477.4, -10.7, 556.7)
(483.7, -10.7, 555.8)
(489.6, -10.7, 553.3)
(495.1, -10.7, 549.8)
(500.7, -10.7, 546.9)
(506.2, -10.7, 544.8)
(511.2, -10.7, 541.7)
(517.1, -10.7, 540.3)
(522.9, -10.7, 538.1)
(529.1, -10.7, 536.9)
(535.3, -10.7, 536.0)
(541.0, -10.7, 538.1)
(546.3, -10.7, 541.3)
(550.6, -10.7, 545.8)
(554.7, -10.5, 550.4)
(559.9, -10.7, 553.6)
(566.4, -11.8, 555.2)
(572.5, -11.6, 556.4)
(578.7, -11.5, 556.1)
(584.3, -11.7, 553.4)
(590.0, -11.9, 553.4)
(596.3, -12.3, 554.1)
(602.7, -13.2, 552.9)
(608.3, -11.9, 552.7)
(612.5, -11.1, 551.8)
(616.8, -10.9, 550.5)
(621.5, -10.4, 549.5)
(626.0, -9.8, 548.8)
(630.4, -9.8, 547.2)
(636.0, -10.4, 545.9)
(642.3, -10.6, 544.0)
(648.2, -10.1, 543.1)
(654.3, -10.4, 543.3)
(658.8, -9.8, 546.2)
(662.1, -9.0, 549.4)
(665.6, -8.1, 551.1)
(669.4, -7.6, 551.9)
(672.7, -7.0, 553.6)
(674.8, -6.7, 556.3)
(676.8, -6.5, 559.1)
(681.4, -8.2, 562.0)
(685.5, -8.1, 565.8)
(687.0, -6.7, 568.7)
(689.8, -6.4, 570.4)
(692.6, -6.4, 573.0)
(695.9, -6.4, 576.4)
(699.7, -6.4, 579.9)
(705.0, -7.0, 580.8)
(710.7, -8.8, 583.2)
(714.5, -7.4, 586.3)
(719.9, -9.0, 584.7)
(724.6, -9.2, 580.9)
(729.7, -8.4, 580.4)
(734.0, -8.2, 579.0)
(738.8, -8.3, 579.4)
(743.7, -8.6, 580.7)
(749.0, -9.1, 581.4)
(755.8, -10.8, 581.7)
(763.9, -12.0, 581.6)
(770.4, -11.6, 581.2)
(774.6, -10.6, 583.7)
(779.1, -10.3, 583.9)
(783.8, -10.2, 584.3)
(788.8, -9.6, 585.4)
(792.4, -9.5, 587.9)
(793.9, -9.0, 591.6)
(795.0, -8.5, 594.4)
(798.6, -8.7, 597.2)
(801.5, -9.0, 601.2)
(803.5, -8.6, 606.1)
(403.0, -9.8, 574.8)
(401.0, -9.8, 575.1)
(397.7, -9.6, 573.8)
(396.5, -9.4, 570.2)
(397.8, -9.0, 566.1)
(398.9, -8.4, 562.8)
(401.3, -9.1, 558.9)
(404.7, -9.3, 554.4)
(408.7, -10.1, 550.5)
(411.1, -10.5, 544.8)
(411.8, -10.7, 538.9)
(415.6, -10.7, 535.1)
(418.5, -10.7, 530.7)
(418.1, -10.7, 525.4)
(421.6, -10.7, 521.9)
(427.0, -10.7, 522.1)
(432.2, -10.7, 520.1)
(437.7, -10.7, 517.7)
(443.4, -10.7, 516.6)
(446.8, -10.7, 520.8)
(449.7, -10.7, 525.9)
(451.8, -10.7, 531.4)
(451.3, -10.7, 537.4)
(454.1, -10.7, 542.1)
(456.8, -10.7, 547.1)
(458.3, -10.7, 552.8)
(458.3, -10.7, 559.0)
(458.5, -10.7, 565.2)
(461.9, -10.7, 569.8)
(465.7, -10.7, 574.0)
(465.9, -10.7, 579.6)
(464.3, -10.7, 585.2)
(459.9, -10.7, 588.9)
(454.4, -10.7, 588.4)
(449.2, -10.7, 587.9)
(444.8, -10.7, 591.3)
(440.2, -10.7, 595.2)
(436.1, -10.7, 599.8)
(432.9, -10.7, 605.2)
(430.6, -10.7, 610.9)
(430.2, -10.7, 617.0)
(428.5, -9.9, 622.4)
(427.4, -8.7, 626.8)
(426.3, -7.7, 630.0)
(425.5, -7.1, 632.9)
(424.3, -6.8, 636.2)
(422.0, -6.9, 639.8)
(418.2, -7.8, 643.9)
(414.0, -9.3, 649.6)
(411.7, -9.7, 656.5)
(411.6, -7.8, 661.5)
(410.0, -6.9, 664.7)
(408.3, -6.3, 667.5)
(406.1, -5.7, 670.2)
(405.2, -4.8, 672.9)
(404.4, -4.3, 675.2)
(402.6, -4.6, 678.6)
(400.8, -5.3, 683.8)
(399.9, -4.5, 689.5)
(400.2, -3.7, 693.6)
(399.4, -5.1, 698.1)
(395.1, -6.1, 703.6)
(392.2, -3.9, 707.9)
(389.7, -2.7, 709.7)
(388.5, -1.9, 711.1)
(387.9, -1.5, 711.9)
(387.4, -1.2, 712.5)
(387.0, -0.9, 713.2)
(386.4, -0.5, 713.9)
(385.6, -0.1, 714.9)
(384.6, 0.3, 716.2)
(383.1, 0.6, 718.3)
(380.7, 0.5, 721.2)
(378.0, -0.1, 725.7)
(375.3, -1.2, 731.8)
(373.3, -1.8, 738.7)
(369.5, -2.1, 744.6)
(367.6, -3.0, 751.1)
(367.6, -2.8, 758.2)
(368.1, -3.8, 764.0)
(367.4, -9.5, 771.4)
(365.0, -13.9, 781.3)
(363.4, -16.8, 792.2)
(363.3, -18.4, 802.6)
(362.6, -16.5, 809.2)
(362.3, -15.2, 811.7)
(363.1, -14.9, 813.9)
(363.8, -14.4, 815.9)
(364.3, -13.9, 817.4)
(364.8, -13.5, 818.4)
(365.2, -13.2, 819.1)
(365.5, -12.9, 819.7)
(365.8, -12.6, 820.4)
(366.0, -12.2, 821.0)
(366.2, -11.9, 821.6)
(366.5, -11.5, 822.3)
(366.8, -11.2, 822.9)
(367.1, -10.9, 823.6)
(367.2, -10.5, 824.3)
(367.4, -10.2, 825.0)
(367.6, -9.8, 825.6)
(367.8, -9.5, 826.4)
(367.8, -9.1, 827.0)
(367.8, -8.8, 827.8)
(367.7, -8.4, 828.5)
(367.6, -8.1, 829.4)
(367.5, -7.7, 830.6)
(367.6, -7.4, 832.2)
(368.4, -7.1, 834.1)
(369.9, -6.8, 837.0)
(368.8, -6.0, 840.5)
(366.0, -5.5, 842.6)
(362.5, -5.0, 844.5)
(359.2, -4.3, 846.2)
(355.6, -3.8, 848.0)
(352.2, -3.3, 850.5)
(349.4, -2.8, 853.9)
(346.3, -2.6, 857.4)
(343.4, -2.5, 861.7)
(339.8, -4.3, 865.7)
(338.6, -3.9, 866.7)
(338.6, -3.9, 866.7)
(338.7, -3.9, 866.7)
(338.8, -3.7, 867.0)
(338.8, -3.6, 867.1)
(339.3, -3.2, 867.5)
(339.9, -3.0, 867.7)
(340.4, -2.9, 867.8)
(341.1, -2.8, 868.0)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(402.3, -9.9, 575.2)
(399.8, -9.9, 577.2)
(397.5, -9.8, 579.0)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(402.0, -9.9, 575.4)
(400.0, -9.9, 578.3)
(398.2, -10.1, 582.8)
(396.3, -10.2, 588.3)
(394.6, -10.4, 594.3)
(393.5, -10.7, 598.7)
(392.7, -10.8, 601.5)
(392.2, -10.9, 603.3)
(391.9, -10.9, 604.5)
(391.7, -10.9, 605.0)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.7, -10.9, 605.1)
(391.6, -10.8, 605.8)
(392.2, -10.5, 608.3)
(394.4, -10.0, 610.8)
(397.6, -9.3, 612.3)
(401.0, -8.7, 613.3)
(404.3, -8.0, 614.0)
(407.7, -7.6, 614.2)
(411.9, -7.6, 614.8)
(416.8, -8.2, 615.9)
(420.9, -9.0, 616.8)
(424.3, -9.6, 617.6)
(427.2, -10.1, 618.3)
(429.6, -10.4, 618.8)
(431.5, -10.5, 619.3)
(433.0, -10.6, 619.7)
(434.1, -10.6, 620.0)
(434.8, -10.6, 620.1)
(435.4, -10.7, 620.3)
(435.8, -10.7, 620.4)
(436.1, -10.7, 620.4)
(436.3, -10.7, 620.5)
(436.5, -10.7, 620.5)
(436.5, -10.7, 620.5)
(436.5, -10.7, 620.5)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(402.9, -9.9, 574.9)
(401.1, -9.9, 576.4)
(398.8, -10.0, 579.9)
(399.0, -10.2, 585.0)
(400.1, -10.4, 591.0)
(401.5, -10.7, 597.4)
(403.1, -10.4, 603.7)
(404.5, -9.3, 609.1)
(405.2, -8.4, 612.0)
(405.6, -8.0, 613.5)
(406.5, -7.5, 614.9)
(407.9, -7.0, 616.5)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(403.0, -9.9, 574.8)
(402.7, -9.9, 574.9)
(400.2, -9.8, 575.6)
(396.5, -9.6, 576.5)
(392.2, -9.0, 576.8)
(388.2, -8.2, 576.9)
(384.7, -7.2, 576.9)
(381.8, -6.4, 576.9)
(379.3, -5.6, 576.9)
(377.1, -4.9, 576.9)
(375.1, -4.3, 576.9)
(373.0, -3.7, 576.8)
(370.9, -3.1, 576.6)
(368.7, -2.6, 575.9)
(366.1, -2.0, 575.6)
(363.2, -1.5, 575.6)
(359.8, -1.0, 575.9)
(355.8, -0.8, 576.1)
(350.8, -0.9, 575.5)
(344.9, -1.2, 574.6)
(338.7, -1.1, 573.8)
(333.0, -0.4, 572.7)
(328.3, 0.7, 571.9)
(324.6, 1.8, 571.3)
(321.8, 2.7, 571.1)
(319.6, 3.5, 571.1)
(317.6, 4.1, 571.2)
(315.7, 4.6, 571.3)
(313.6, 5.2, 571.7)
